order_id,line_item_id,order_number,customer_id,product_id,location_id,order_date,ship_date,quantity,unit_price,discount_amount
1,1,ORD-000001,36,31,2,2023-08-11,2023-08-19,4,19.99,10
1,2,ORD-000001,36,1,2,2023-08-11,2023-08-19,1,899.99,0
2,3,ORD-000002,66,8,7,2022-11-03,2022-11-12,3,29.99,0
2,4,ORD-000002,66,20,7,2022-11-03,2022-11-12,1,29.99,0
2,5,ORD-000002,66,16,7,2022-11-03,2022-11-12,4,39.99,15
2,6,ORD-000002,66,40,7,2022-11-03,2022-11-12,4,12.99,0
3,7,ORD-000003,29,33,27,2024-10-20,2024-10-30,5,24.99,0
4,8,ORD-000004,184,40,5,2023-08-20,2023-08-27,3,12.99,0
5,9,ORD-000005,147,5,14,2023-01-19,2023-01-21,5,549.99,10
5,10,ORD-000005,147,33,14,2023-01-19,2023-01-21,5,24.99,10
5,11,ORD-000005,147,2,14,2023-01-19,2023-01-21,4,1199.99,20
6,12,ORD-000006,121,2,2,2024-03-03,2024-03-09,3,1199.99,20
6,13,ORD-000006,121,5,2,2024-03-03,2024-03-09,3,549.99,0
6,14,ORD-000006,121,7,2,2024-03-03,2024-03-09,5,49.99,15
7,15,ORD-000007,194,35,11,2022-10-01,2022-10-02,3,24.99,20
7,16,ORD-000007,194,12,11,2022-10-01,2022-10-02,4,59.99,15
7,17,ORD-000007,194,31,11,2022-10-01,2022-10-02,2,19.99,20
8,18,ORD-000008,35,13,3,2024-07-26,2024-07-27,1,49.99,20
8,19,ORD-000008,35,13,3,2024-07-26,2024-07-27,1,49.99,0
8,20,ORD-000008,35,20,3,2024-07-26,2024-07-27,5,29.99,5
9,21,ORD-000009,140,19,16,2023-06-03,2023-06-04,3,14.99,20
9,22,ORD-000009,140,4,16,2023-06-03,2023-06-04,3,699.99,0
10,23,ORD-000010,32,29,26,2024-01-24,2024-01-31,4,44.99,0
10,24,ORD-000010,32,12,26,2024-01-24,2024-01-31,4,59.99,15
10,25,ORD-000010,32,32,26,2024-01-24,2024-01-31,3,14.99,20
10,26,ORD-000010,32,34,26,2024-01-24,2024-01-31,3,89.99,20
11,27,ORD-000011,22,39,24,2024-05-19,2024-05-21,2,14.99,10
11,28,ORD-000011,22,19,24,2024-05-19,2024-05-21,3,14.99,0
11,29,ORD-000011,22,6,24,2024-05-19,2024-05-21,3,299.99,15
11,30,ORD-000011,22,19,24,2024-05-19,2024-05-21,3,14.99,5
12,31,ORD-000012,155,23,23,2024-05-22,2024-05-25,4,49.99,0
12,32,ORD-000012,155,23,23,2024-05-22,2024-05-25,5,49.99,5
12,33,ORD-000012,155,18,23,2024-05-22,2024-05-25,1,129.99,0
12,34,ORD-000012,155,26,23,2024-05-22,2024-05-25,3,79.99,10
13,35,ORD-000013,192,39,22,2022-11-24,2022-11-25,4,14.99,0
13,36,ORD-000013,192,9,22,2022-11-24,2022-11-25,1,79.99,0
14,37,ORD-000014,200,37,21,2024-01-21,2024-01-27,1,24.99,10
14,38,ORD-000014,200,10,21,2024-01-21,2024-01-27,4,39.99,0
14,39,ORD-000014,200,24,21,2024-01-21,2024-01-27,4,89.99,20
14,40,ORD-000014,200,5,21,2024-01-21,2024-01-27,5,549.99,0
15,41,ORD-000015,136,16,12,2024-03-26,2024-04-01,1,39.99,0
15,42,ORD-000015,136,12,12,2024-03-26,2024-04-01,4,59.99,10
15,43,ORD-000015,136,25,12,2024-03-26,2024-04-01,5,59.99,0
16,44,ORD-000016,68,40,25,2023-06-18,2023-06-26,3,12.99,15
16,45,ORD-000016,68,32,25,2023-06-18,2023-06-26,2,14.99,0
17,46,ORD-000017,35,29,28,2022-06-01,2022-06-09,1,44.99,20
17,47,ORD-000017,35,21,28,2022-06-01,2022-06-09,3,34.99,15
18,48,ORD-000018,17,12,18,2023-08-18,2023-08-23,3,59.99,10
18,49,ORD-000018,17,15,18,2023-08-18,2023-08-23,1,49.99,0
19,50,ORD-000019,36,36,8,2024-10-08,2024-10-09,5,149.99,0
19,51,ORD-000019,36,30,8,2024-10-08,2024-10-09,5,29.99,0
19,52,ORD-000019,36,40,8,2024-10-08,2024-10-09,1,12.99,0
20,53,ORD-000020,80,27,13,2024-09-07,2024-09-16,5,24.99,0
20,54,ORD-000020,80,9,13,2024-09-07,2024-09-16,3,79.99,15
20,55,ORD-000020,80,5,13,2024-09-07,2024-09-16,4,549.99,5
20,56,ORD-000020,80,34,13,2024-09-07,2024-09-16,3,89.99,0
21,57,ORD-000021,200,33,18,2023-01-08,2023-01-11,1,24.99,20
21,58,ORD-000021,200,8,18,2023-01-08,2023-01-11,5,29.99,0
21,59,ORD-000021,200,20,18,2023-01-08,2023-01-11,2,29.99,0
21,60,ORD-000021,200,21,18,2023-01-08,2023-01-11,2,34.99,0
22,61,ORD-000022,133,13,29,2023-08-05,2023-08-07,5,49.99,0
22,62,ORD-000022,133,9,29,2023-08-05,2023-08-07,3,79.99,10
22,63,ORD-000022,133,35,29,2023-08-05,2023-08-07,1,24.99,10
23,64,ORD-000023,165,37,6,2022-11-12,2022-11-15,1,24.99,20
23,65,ORD-000023,165,2,6,2022-11-12,2022-11-15,1,1199.99,0
23,66,ORD-000023,165,37,6,2022-11-12,2022-11-15,3,24.99,15
24,67,ORD-000024,54,32,25,2024-05-03,2024-05-13,5,14.99,0
25,68,ORD-000025,165,20,10,2024-09-16,2024-09-20,4,29.99,0
25,69,ORD-000025,165,4,10,2024-09-16,2024-09-20,2,699.99,5
25,70,ORD-000025,165,27,10,2024-09-16,2024-09-20,4,24.99,5
25,71,ORD-000025,165,14,10,2024-09-16,2024-09-20,3,34.99,10
26,72,ORD-000026,37,9,11,2023-10-16,2023-10-22,3,79.99,10
26,73,ORD-000026,37,36,11,2023-10-16,2023-10-22,1,149.99,0
26,74,ORD-000026,37,16,11,2023-10-16,2023-10-22,4,39.99,0
26,75,ORD-000026,37,18,11,2023-10-16,2023-10-22,4,129.99,0
27,76,ORD-000027,37,40,4,2022-04-14,2022-04-19,4,12.99,0
27,77,ORD-000027,37,11,4,2022-04-14,2022-04-19,3,19.99,10
27,78,ORD-000027,37,21,4,2022-04-14,2022-04-19,2,34.99,20
27,79,ORD-000027,37,11,4,2022-04-14,2022-04-19,4,19.99,10
28,80,ORD-000028,120,6,16,2023-09-24,2023-10-02,4,299.99,10
29,81,ORD-000029,118,4,8,2023-03-17,2023-03-27,1,699.99,0
29,82,ORD-000029,118,32,8,2023-03-17,2023-03-27,5,14.99,20
29,83,ORD-000029,118,31,8,2023-03-17,2023-03-27,3,19.99,10
